                                     2 Nov 2020 17:33:11
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
30 Nov 2020 18:27:55.011        9.399           1.000000
30 Nov 2020 18:28:55.011        9.348           1.000000
30 Nov 2020 18:29:55.011        9.251           1.000000
30 Nov 2020 18:30:55.011        9.127           1.000000
30 Nov 2020 18:31:55.011        8.942           1.000000
30 Nov 2020 18:32:55.011        8.701           1.000000
30 Nov 2020 18:33:55.011        8.436           1.000000
30 Nov 2020 18:34:55.011        8.143           1.000000
30 Nov 2020 18:35:55.011        7.794           1.000000
30 Nov 2020 18:36:55.011        7.436           1.000000
30 Nov 2020 18:37:55.011        7.031           1.000000
30 Nov 2020 18:38:55.011        6.726           1.000000
30 Nov 2020 18:39:55.011        7.080           1.000000
30 Nov 2020 18:40:55.011        7.417           1.000000
30 Nov 2020 18:41:55.011        7.731           1.000000
30 Nov 2020 18:42:55.011        7.989           1.000000
30 Nov 2020 18:43:55.011        8.226           1.000000
30 Nov 2020 18:44:55.011        0.000           0.000000
30 Nov 2020 18:45:55.011        0.000           0.000000
30 Nov 2020 18:46:55.011        0.000           0.000000
30 Nov 2020 18:47:55.011        0.000           0.000000
30 Nov 2020 18:48:55.011        0.000           0.000000
30 Nov 2020 18:49:55.011        0.000           0.000000
30 Nov 2020 18:50:55.011        0.000           0.000000
30 Nov 2020 18:51:55.011        0.000           0.000000
30 Nov 2020 18:52:55.011        0.000           0.000000
30 Nov 2020 18:53:55.011        0.000           0.000000
30 Nov 2020 18:54:55.011        0.000           0.000000
30 Nov 2020 18:55:55.011        0.000           0.000000
30 Nov 2020 18:56:55.011        0.000           0.000000
30 Nov 2020 18:57:55.011        0.000           0.000000
30 Nov 2020 18:58:55.011        0.000           0.000000
30 Nov 2020 18:59:55.011        0.000           0.000000
30 Nov 2020 19:00:55.011        0.000           0.000000
30 Nov 2020 19:01:55.011        0.000           0.000000
30 Nov 2020 19:02:55.011        0.000           0.000000
30 Nov 2020 19:03:55.011        0.000           0.000000
30 Nov 2020 19:04:55.011        0.000           0.000000
30 Nov 2020 19:05:55.011        0.000           0.000000
30 Nov 2020 19:06:55.011        0.000           0.000000
30 Nov 2020 19:07:55.011        0.000           0.000000
30 Nov 2020 19:08:55.011        0.000           0.000000
30 Nov 2020 19:09:55.011        0.000           0.000000
30 Nov 2020 19:10:55.011        0.000           0.000000
30 Nov 2020 19:11:55.011        0.000           0.000000
30 Nov 2020 19:12:55.011        0.000           0.000000
30 Nov 2020 19:13:55.011        0.000           0.000000
30 Nov 2020 19:14:55.011        0.000           0.000000
30 Nov 2020 19:15:55.011        0.000           0.000000
30 Nov 2020 19:16:55.011        0.000           0.000000
30 Nov 2020 19:17:55.011        0.000           0.000000
30 Nov 2020 19:18:55.011        0.000           0.000000
30 Nov 2020 19:19:55.011        2.012           1.000000
30 Nov 2020 19:20:55.011        1.642           1.000000
30 Nov 2020 19:21:55.011        1.263           1.000000
30 Nov 2020 19:22:55.011        0.883           1.000000
30 Nov 2020 19:23:55.011        0.500           1.000000
30 Nov 2020 19:24:55.011        0.117           1.000000
30 Nov 2020 19:25:55.011        0.279           1.000000
30 Nov 2020 19:26:55.011        0.722           1.000000
30 Nov 2020 19:27:55.011        1.159           1.000000
30 Nov 2020 19:28:55.011        1.614           1.000000
30 Nov 2020 19:29:55.011        2.036           1.000000
30 Nov 2020 19:30:55.011        2.461           1.000000
30 Nov 2020 19:31:55.011        2.878           1.000000
30 Nov 2020 19:32:55.011        3.266           1.000000
30 Nov 2020 19:33:55.011        3.662           1.000000
30 Nov 2020 19:34:55.011        4.032           1.000000
30 Nov 2020 19:35:55.011        4.388           1.000000
30 Nov 2020 19:36:55.011        4.708           1.000000
30 Nov 2020 19:37:55.011        5.018           1.000000
30 Nov 2020 19:38:55.011        5.308           1.000000
30 Nov 2020 19:39:55.011        5.566           1.000000
30 Nov 2020 19:40:55.011        5.809           1.000000
30 Nov 2020 19:41:55.011        6.015           1.000000
30 Nov 2020 19:42:55.011        6.196           1.000000
30 Nov 2020 19:43:55.011        6.344           1.000000
30 Nov 2020 19:44:55.011        6.469           1.000000
30 Nov 2020 19:45:55.011        6.563           1.000000
30 Nov 2020 19:46:55.011        6.630           1.000000
30 Nov 2020 19:47:55.011        6.669           1.000000
30 Nov 2020 19:48:55.011        6.830           1.000000
30 Nov 2020 19:49:55.011        7.249           1.000000
30 Nov 2020 19:50:55.011        7.641           1.000000
30 Nov 2020 19:51:55.011        8.000           1.000000
30 Nov 2020 19:52:55.011        8.309           1.000000
30 Nov 2020 19:53:55.011        8.588           1.000000
30 Nov 2020 19:54:55.011        8.817           1.000000
30 Nov 2020 19:55:55.011        9.024           1.000000
30 Nov 2020 19:56:55.011        9.180           1.000000
30 Nov 2020 19:57:55.011        9.295           1.000000
30 Nov 2020 19:58:55.011        9.370           1.000000
30 Nov 2020 19:59:55.011        9.397           1.000000
30 Nov 2020 20:00:55.011        9.380           1.000000
30 Nov 2020 20:01:55.011        9.330           1.000000
30 Nov 2020 20:02:55.011        9.216           1.000000
30 Nov 2020 20:03:55.011        9.075           1.000000
30 Nov 2020 20:04:55.011        8.896           1.000000
30 Nov 2020 20:05:55.011        8.668           1.000000
30 Nov 2020 20:06:55.011        8.391           1.000000
30 Nov 2020 20:07:55.011        8.106           1.000000
30 Nov 2020 20:08:04.210        8.049           1.000000
