                                   25 Oct 2020 16:39:57
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SPOC



All Solar Panel Groups
----------------------

      Time (UTCG)          Power (W)    Solar Intensity
-----------------------    ---------    ---------------
2 Dec 2020 03:27:44.513        0.000           0.000000
2 Dec 2020 03:28:44.513        0.000           0.000000
2 Dec 2020 03:29:44.513        0.000           0.000000
2 Dec 2020 03:30:44.513        0.000           0.000000
2 Dec 2020 03:31:44.513        0.000           0.000000
2 Dec 2020 03:32:44.513        0.000           0.000000
2 Dec 2020 03:33:44.513        0.000           0.000000
2 Dec 2020 03:34:44.513        0.000           0.000000
2 Dec 2020 03:35:44.513        0.000           0.000000
2 Dec 2020 03:36:44.513        0.000           0.000000
2 Dec 2020 03:37:44.513        0.000           0.000000
2 Dec 2020 03:38:44.513        0.000           0.000000
2 Dec 2020 03:39:44.513        0.000           0.000000
2 Dec 2020 03:40:44.513        0.000           0.000000
2 Dec 2020 03:41:44.513        0.000           0.000000
2 Dec 2020 03:42:44.513        0.000           0.000000
2 Dec 2020 03:43:44.513        0.000           0.000000
2 Dec 2020 03:44:44.513        0.000           0.000000
2 Dec 2020 03:45:44.513        0.000           0.000000
2 Dec 2020 03:46:44.513        0.000           0.000000
2 Dec 2020 03:47:44.513        0.000           0.000000
2 Dec 2020 03:48:44.513        0.000           0.000000
2 Dec 2020 03:49:44.513        0.000           0.000000
2 Dec 2020 03:50:44.513        0.000           0.000000
2 Dec 2020 03:51:44.513        0.000           0.000000
2 Dec 2020 03:52:44.513        1.907           1.000000
2 Dec 2020 03:53:44.513        1.554           1.000000
2 Dec 2020 03:54:44.513        1.193           1.000000
2 Dec 2020 03:55:44.513        0.824           1.000000
2 Dec 2020 03:56:44.513        0.451           1.000000
2 Dec 2020 03:57:44.513        0.085           1.000000
2 Dec 2020 03:58:44.513        0.301           1.000000
2 Dec 2020 03:59:44.513        0.736           1.000000
2 Dec 2020 04:00:44.513        1.162           1.000000
2 Dec 2020 04:01:44.513        1.586           1.000000
2 Dec 2020 04:02:44.513        2.007           1.000000
2 Dec 2020 04:03:44.513        2.410           1.000000
2 Dec 2020 04:04:44.513        2.813           1.000000
2 Dec 2020 04:05:44.513        3.182           1.000000
2 Dec 2020 04:06:44.513        3.560           1.000000
2 Dec 2020 04:07:44.513        3.916           1.000000
2 Dec 2020 04:08:44.513        4.249           1.000000
2 Dec 2020 04:09:44.513        4.569           1.000000
2 Dec 2020 04:10:44.513        4.861           1.000000
2 Dec 2020 04:11:44.513        5.132           1.000000
2 Dec 2020 04:12:44.513        5.383           1.000000
2 Dec 2020 04:13:44.513        5.603           1.000000
2 Dec 2020 04:14:44.513        5.802           1.000000
2 Dec 2020 04:15:44.513        5.974           1.000000
2 Dec 2020 04:16:44.513        6.123           1.000000
2 Dec 2020 04:17:44.513        6.243           1.000000
2 Dec 2020 04:18:44.513        6.328           1.000000
2 Dec 2020 04:19:44.513        6.384           1.000000
2 Dec 2020 04:20:44.513        6.417           1.000000
2 Dec 2020 04:21:44.513        6.616           1.000000
2 Dec 2020 04:22:44.513        7.016           1.000000
2 Dec 2020 04:23:44.513        7.388           1.000000
2 Dec 2020 04:24:44.513        7.723           1.000000
2 Dec 2020 04:25:44.513        8.029           1.000000
2 Dec 2020 04:26:44.513        8.300           1.000000
2 Dec 2020 04:27:44.513        8.524           1.000000
2 Dec 2020 04:28:44.513        8.717           1.000000
2 Dec 2020 04:29:44.513        8.857           1.000000
2 Dec 2020 04:30:44.513        8.968           1.000000
2 Dec 2020 04:31:44.513        9.032           1.000000
2 Dec 2020 04:32:44.513        9.054           1.000000
2 Dec 2020 04:33:44.513        9.037           1.000000
2 Dec 2020 04:34:44.513        8.980           1.000000
2 Dec 2020 04:35:44.513        8.874           1.000000
2 Dec 2020 04:36:44.513        8.738           1.000000
2 Dec 2020 04:37:44.513        8.554           1.000000
2 Dec 2020 04:38:44.513        8.336           1.000000
2 Dec 2020 04:39:44.513        8.080           1.000000
2 Dec 2020 04:40:44.513        7.778           1.000000
2 Dec 2020 04:41:44.513        7.453           1.000000
2 Dec 2020 04:42:44.513        7.085           1.000000
2 Dec 2020 04:43:44.513        6.699           1.000000
